gamma    integral   efficiency
0.100000 0.292633 0.316040
0.200000 0.597727 0.332590
0.300000 0.868939 0.354180
0.400000 1.114695 0.377830
0.500000 1.312939 0.407100
0.600000 1.502921 0.433960
0.700000 1.654294 0.465990
0.800000 1.801060 0.495950
0.900000 1.934198 0.527960
1.000000 2.046628 0.560910
1.100000 2.143959 0.595430
1.200000 2.197358 0.634270
1.300000 2.256913 0.673740
1.400000 2.255226 0.717540
1.500000 2.261827 0.760780
1.600000 2.249005 0.806050
1.700000 2.226347 0.851250
1.800000 2.172929 0.900000
1.900000 2.099192 0.949620
2.000000 2.007611 1.000000
2.100000 2.108001 1.000000
2.200000 2.208388 1.000000
2.300000 2.308767 1.000000
2.400000 2.409141 1.000000
2.500000 2.509519 1.000000
2.600000 2.609903 1.000000
2.700000 2.710279 1.000000
2.799999 2.807394 1.000000
2.899999 2.907651 1.000000
2.999999 3.007919 1.000000
3.099999 3.108202 1.000000
3.199999 3.208439 1.000000
3.299999 3.308719 1.000000
3.399999 3.408971 1.000000
3.499999 3.509254 1.000000
3.599999 3.609488 1.000000
3.699999 3.709796 1.000000
3.799999 3.810005 1.000000
3.899998 3.910339 1.000000
3.999998 4.010569 1.000000
4.099998 2.040171 0.540860
4.199998 0.797554 0.226080
4.299998 0.423400 0.127220
4.399998 0.205608 0.066680
4.499998 0.109843 0.038130
4.599998 0.060524 0.022020
4.699998 0.035529 0.013410
4.799998 0.012944 0.005220
4.899998 0.009256 0.003850
4.999998 0.002359 0.001320
5.099998 0.001255 0.000650
5.199997 0.001280 0.000650
5.299997 0.001177 0.000570
5.399997 0.001088 0.000510
5.499997 0.001103 0.000500
5.599997 0.001122 0.000500
5.699997 0.001870 0.000700
5.799997 0.001903 0.000700
5.899997 0.001899 0.000670
5.999997 0.001872 0.000630
6.099997 0.001857 0.000620
6.199996 0.001770 0.000590
6.299996 0.001797 0.000590
6.399996 0.001413 0.000400
6.499996 0.001422 0.000390
6.599996 0.001451 0.000390
6.699996 0.001470 0.000390
6.799996 0.001490 0.000390
6.899996 0.001481 0.000370
6.999996 0.001416 0.000340
7.099996 0.001224 0.000250
7.199996 0.001239 0.000250
7.299995 0.001256 0.000250
7.399995 0.001275 0.000250
7.499995 0.001291 0.000250
7.599995 0.001311 0.000250
7.699995 0.001324 0.000250
7.799995 0.001292 0.000220
7.899995 0.001307 0.000220
7.999995 0.001326 0.000220
8.099995 0.001342 0.000220
8.199995 0.000605 0.000140
8.299995 0.000613 0.000140
8.399996 0.000619 0.000140
8.499996 0.000626 0.000140
8.599997 0.000633 0.000140
8.699997 0.000640 0.000140
8.799997 0.000645 0.000140
8.899998 0.000652 0.000140
8.999998 0.000659 0.000140
9.099998 0.000666 0.000140
9.199999 0.000674 0.000140
9.299999 0.000681 0.000140
9.400000 0.000688 0.000140
9.500000 0.000695 0.000140
9.600000 0.000702 0.000140
9.700001 0.000709 0.000140
9.800001 0.000716 0.000140
9.900002 0.000724 0.000140
10.000002 0.000730 0.000140
10.100002 0.000738 0.000140
